# std_name  RA  DEC  V  eV  b-y  e(b-y)  m1  em1  c1  ec1  beta  e_beta  around_star  V_star
  HD70574  125.6256810 -06.1791538      6.146  0.042  0.128  0.003  0.211  0.009  0.863  0.013  2.816  0.006  HD68312   5.359
  HD66242  120.6082066 -06.3371353      6.329  0.021  0.387  0.009  0.202  0.020  0.435  0.016  2.605  0.002  HD68312   5.359
  HD67159  121.6142112 -09.2444556      6.248  0.017 -0.001  0.001  0.111  0.013  0.988  0.018  2.817  0.011  HD68312   5.359
  HD78548  136.6417927 -55.8024105      6.099  0.002 -0.046  0.006  0.084  0.011  0.294  0.004  2.655  0.006  HD74622   6.279
  HD72322  127.4016153 -55.1909310      6.351  0.001  0.495  0.001  0.297  0.001  0.543  0.001  2.620  0.001  HD74622   6.279
  HD78293  136.1998638 -57.8525599      6.432  0.001  0.159  0.004  0.172  0.010  1.107  0.013  2.775  0.000  HD74622   6.279
  HD74190  130.5408836 -11.9660070      6.472  0.001  0.076  0.001  0.205  0.001  0.993  0.001  2.861  0.001  HD75916   6.117
  HD75666  132.7296069 -13.6820729      8.115  0.001  0.169  0.001  0.199  0.001  0.902  0.001  2.768  0.001  HD75916   6.117
  HD179520 288.4848221 -26.8762553      7.111  0.001  0.253  0.001  0.144  0.001  0.518  0.001  2.683  0.001  HD176704  5.645
  HD176425 285.5355035 -41.9105013      6.233  0.025 -0.007  0.009  0.144  0.002  1.019  0.011  2.891  0.013  HD177873 -9.999
  HD175529 284.3933128 -39.8232020      6.298  0.011  0.124  0.006  0.176  0.018  0.887  0.005  2.828  0.014  HD177873 -9.999
  HD175348 284.1970828 -39.5079364      7.624  0.001  0.560  0.001  0.247  0.001  0.450  0.001  2.566  0.001  HD177873 -9.999
  HD191349 302.8158090 -43.6622934      6.547  0.001  0.547  0.009  0.312  0.020  0.425  0.031  2.570  0.003  HD191584  6.211
  HD189563 300.6509382 -45.1960161      6.566  0.000  0.746  0.004  0.566  0.016  0.328  0.001  2.559  0.005  HD191584  6.211
  HD192758 304.5657895 -42.8600776      7.017  0.002  0.209  0.001  0.171  0.005  0.640  0.008  2.737  0.006  HD191584  6.211
  HD220894 351.9062113 -33.6280286      7.515  0.001  0.343  0.001  0.165  0.001  0.367  0.001  2.631  0.001  HD219784  4.412
  HD217745 345.7946502 -31.1428415      7.926  0.001  0.192  0.001  0.181  0.001  0.698  0.001  2.750  0.001  HD219784  4.412
  HD221351 352.9208286 -31.3362572      8.476  0.001  0.206  0.001  0.144  0.001  0.681  0.001  2.739  0.001  HD219784  4.412
  HD221738 353.7588726 -56.8253528      6.727  0.002  0.237  0.001  0.172  0.002  0.706  0.012  2.700  0.001  HD220572  5.605
  HD219458 349.1061866 -55.5269301      6.931  0.001  0.282  0.005  0.164  0.010  0.499  0.010  2.675  0.001  HD220572  5.605
  HD223125 356.7533677 -55.4082469      7.644  0.011  0.334  0.006  0.167  0.002  0.369  0.015  2.639  0.001  HD220572  5.605
  HD205289 323.7127089 -20.0842793      5.749  0.042  0.274  0.001  0.136  0.010  0.471  0.015  2.664  0.005  HD204381  4.501
  HD205306 323.7290600 -20.2527194      6.741  0.001  0.321  0.001  0.160  0.001  0.455  0.001  2.638  0.001  HD204381  4.501
